address,name
0x8acfe17a5fe62966a27e579e28c10e936de614f2,AdamHollander
0xea39c551834d07ee2ee87f1ceff843c308e089af,DFarmer
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,Pranksy
0x886478d3cf9581b624cb35b5446693fc8a58b787,Zeneca33
0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,Anonymoux
0xb4d64772218d36f97974e8bb6ef0d01b026c9a14,Gorilla
0xf4fb9fa23edb32215e5284cf7dbfdb5607d51a5b,Cirrus
0x54BE3a794282C030b15E43aE2bB182E14c409C5e,Dingaling
0x66666f58de1bcd762a5e5c5aff9cc3c906d66666,FLC
0x414826beb718f2b204bca67b949604bdc739fcba,Khalissman
0x419beee486a63971332cee7170c2f675d92ac5d3,Xcopy
0x2487e611ff876c101dd2b31758102953f4760af5,Loki
0x5bee2b0e902db594be8a9beb8e20f0be0f370c6d,GordonGoner
0x00e484da1156202e9dd341ad7ea9c908bb919e96,Murec
0xdbd47f66aa2f00b3db03397f260ce9728298c495,T.M.A
0xf56345338cb4cddaf915ebef3bfde63e70fe3053,BoredElonMusk
0x1c5fdadeeb91daa6df5961b4a50403756b6fd251,Trader X
